Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_x,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_y
2022,2,San Juan,39.0,20.0,12.0,22.0,8.0,100.0,24.0,2.027,30385.0,11.276,24.649,3.728,16701.0,11.617,100407.0
2022,2,San Luis,7.0,29.0,248.0,71.0,15.0,122.0,60.0,306.0,6840.0,21.217,11.052,67.438,13.0,14.815,121741.0
2022,2,Santa Cruz,10.0,24.0,11.0,4.0,579.0,49.0,52.0,6.841,12348.0,11.369,11.885,2.454,3592.0,644.0,49185.0
2022,2,Santa Fe,198.0,428.0,190.0,43.0,20.0,879.0,468.0,11.757,138534.0,204.381,74.133,58.114,373888.0,17.584,878859.0
2022,2,Santiago Del Estero,17.0,80.0,12.0,7.0,3.0,118.0,178.0,1.401,29581.0,59.931,14.606,883.0,10672.0,792.0,118044.0
2022,2,Tierra Del Fuego,13.0,40.0,403.0,125.0,651.0,54.0,22.0,831.0,12052.0,14.828,19.968,1.712,1006.0,3.351,53770.0
2022,2,Tucumán,86.0,15.0,149.0,4.0,487.0,255.0,39.0,2.195,34461.0,43.513,23.634,4.863,145541.0,281.0,254527.0
2022,1,Buenos Aires,392.0,3.0,1.0,126.0,67.0,5.0,31.591,30.056,313382.0,321.756,290.127,161.183,3381049.0,26.28,4555424.0
2022,1,Capital Federal,102.0,1.0,62.0,6.0,30.0,1.0,527.0,5.575,39918.0,77.39,61.053,43.289,1188072.0,1.717,1417541.0
2022,1,Catamarca,14.0,16.0,29.0,1.0,2.0,62.0,71.0,456.0,4386.0,7.009,8.773,3.761,35715.0,2.207,62378.0
2022,1,Chaco,32.0,65.0,37.0,8.0,2.0,144.0,461.0,1.099,16888.0,21.235,20.898,13.012,62946.0,7.58,144119.0
2022,1,Chubut,44.0,67.0,9.0,31.0,21.0,172.0,113.0,1.677,61369.0,31.856,33.08,13.871,14055.0,15.607,171628.0
2022,1,Córdoba,196.0,502.0,236.0,61.0,10.0,1.0,100.0,12.782,165922.0,126.009,73.967,34.892,577027.0,13.104,1003803.0
2022,1,Corrientes,40.0,79.0,11.0,7.0,5.0,143.0,67.0,4.029,24563.0,25.665,27.077,10.452,43631.0,7.094,142578.0
2022,1,Entre Ríos,67.0,139.0,23.0,26.0,13.0,268.0,107.0,5.745,50075.0,49.62,42.294,21.578,81757.0,16.75,267926.0
2022,1,Formosa,16.0,16.0,5.0,17.0,202.0,55.0,97.0,448.0,24113.0,6.945,6.613,716.0,15028.0,588.0,54548.0
2022,1,Jujuy,21.0,61.0,26.0,5.0,4.0,117.0,58.0,1.761,22141.0,16.321,37.923,576.0,35287.0,2.442,116509.0
2022,1,La Pampa,8.0,59.0,22.0,20.0,1.0,110.0,301.0,2.223,62812.0,9.869,12.044,5.25,14400.0,2.833,109732.0
2022,1,La Rioja,9.0,59.0,10.0,6.0,31.0,84.0,18.0,778.0,3576.0,4.692,23.624,5.645,45970.0,0.0,84303.0
2022,1,Mendoza,49.0,74.0,123.0,27.0,1.0,275.0,114.0,3.355,51230.0,26.407,74.178,21.566,95048.0,3.287,275185.0
2022,1,Misiones,39.0,92.0,25.0,8.0,8.0,172.0,51.0,3.873,35655.0,22.261,26.855,15.854,58610.0,8.349,171508.0
2022,1,Neuquén,28.0,73.0,24.0,23.0,745.0,150.0,137.0,1.123,39856.0,15.623,11.163,2.654,71238.0,7.885,149679.0
2022,1,Río Negro,39.0,45.0,38.0,17.0,18.0,157.0,116.0,1.383,35565.0,18.859,26.926,14.144,37729.0,22.652,157374.0
2022,1,Salta,45.0,99.0,41.0,6.0,7.0,198.0,114.0,1.725,35576.0,68.246,6.313,2.214,76838.0,6.489,197515.0
2022,1,San Juan,34.0,14.0,11.0,21.0,8.0,88.0,26.0,2.269,32356.0,11.914,25.144,2.088,11916.0,2.465,88178.0
2022,1,San Luis,8.0,11.0,31.0,72.0,29.0,120.0,61.0,643.0,8287.0,3.837,9.802,68.612,13.0,28.589,119844.0
