Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_x,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_y
2022,2,Buenos Aires,350652.0,2719613.0,1399043.0,126847.0,71028.0,4667183.0,30.639,28.323,295238.0,307.554,273.954,129.869,3535757.0,65.849,4667183.0
2022,2,Capital Federal,145491.0,1232226.0,121506.0,5757.0,31791.0,1536771.0,517.0,5.98,36036.0,72.434,55.372,31.571,1229254.0,105.607,1536771.0
2022,2,Catamarca,11928.0,9430.0,42087.0,1329.0,2234.0,67008.0,71.0,413.0,3678.0,6.155,7.165,3.393,43926.0,2.207,67008.0
2022,2,Chaco,29552.0,61284.0,42194.0,8178.0,2356.0,143564.0,461.0,1.047,17603.0,20.109,8.391,15.974,76271.0,3.708,143564.0
2022,2,Chubut,45377.0,69242.0,9574.0,29784.0,8828.0,162805.0,109.0,1.444,45804.0,31.217,34.29,14.526,15394.0,20.021,162805.0
2022,2,Córdoba,179181.0,467595.0,308895.0,61107.0,9657.0,1026435.0,99.0,11.971,160486.0,120.485,71.923,28.645,619400.0,13.426,1026435.0
2022,2,Corrientes,38468.0,75769.0,18181.0,7256.0,5323.0,144997.0,67.0,3.937,24253.0,24.842,8.001,21.719,55071.0,7.107,144997.0
2022,2,Entre Ríos,63794.0,131029.0,35839.0,26098.0,12592.0,269352.0,107.0,5.656,48637.0,48.557,18.512,32.355,98769.0,16.759,269352.0
2022,2,Formosa,15397.0,25487.0,9875.0,16910.0,212.0,67881.0,97.0,407.0,23834.0,19.706,6.33,591.0,16326.0,590.0,67881.0
2022,2,Jujuy,20303.0,54495.0,34184.0,3955.0,2377.0,115314.0,58.0,1.829,19458.0,15.79,37.786,549.0,37391.0,2.453,115314.0
2022,2,La Pampa,7796.0,59273.0,22994.0,20200.0,1264.0,111527.0,68.0,1.887,62546.0,9.842,11.8,5.247,17125.0,3.012,111527.0
2022,2,La Rioja,7759.0,52656.0,19189.0,6395.0,31.0,86030.0,18.0,728.0,3179.0,3.89,23.814,5.481,48920.0,0.0,86030.0
2022,2,Mendoza,37663.0,77504.0,135504.0,26964.0,1927.0,279562.0,103.0,2.954,44961.0,22.557,64.138,19.543,121366.0,3.94,279562.0
2022,2,Misiones,37208.0,89260.0,33649.0,11074.0,7622.0,178813.0,51.0,3.808,37254.0,21.712,12.774,19.757,75107.0,8.35,178813.0
2022,2,Neuquén,29749.0,74905.0,28824.0,27371.0,1119.0,161968.0,134.0,999.0,38826.0,15.066,9.205,2.039,76982.0,18.717,161968.0
2022,2,Río Negro,36050.0,47040.0,40946.0,16760.0,18968.0,159764.0,111.0,1.227,33364.0,17.938,27.168,13.714,41972.0,24.27,159764.0
2022,2,Salta,42665.0,96178.0,47076.0,10068.0,7190.0,203177.0,114.0,1.53,33732.0,72.661,6.012,1.156,81478.0,6.494,203177.0
2022,2,San Juan,38570.0,19734.0,12328.0,21859.0,7916.0,100407.0,24.0,2.027,30385.0,11.276,24.649,3.728,16701.0,11.617,100407.0
2022,2,San Luis,6860.0,29034.0,248.0,70614.0,14985.0,121741.0,60.0,306.0,6840.0,21.217,11.052,67.438,13.0,14.815,121741.0
2022,2,Santa Cruz,10170.0,23725.0,10815.0,3896.0,579.0,49185.0,52.0,6.841,12348.0,11.369,11.885,2.454,3592.0,644.0,49185.0
2022,2,Santa Fe,198492.0,428233.0,189503.0,43081.0,19550.0,878859.0,468.0,11.757,138534.0,204.381,74.133,58.114,373888.0,17.584,878859.0
2022,2,Santiago Del Estero,16561.0,80338.0,11605.0,6618.0,2922.0,118044.0,178.0,1.401,29581.0,59.931,14.606,883.0,10672.0,792.0,118044.0
2022,2,Tierra Del Fuego,12754.0,39837.0,403.0,125.0,651.0,53770.0,22.0,831.0,12052.0,14.828,19.968,1.712,1006.0,3.351,53770.0
2022,2,Tucumán,85893.0,15327.0,148823.0,3997.0,487.0,254527.0,39.0,2.195,34461.0,43.513,23.634,4.863,145541.0,281.0,254527.0
2022,1,Buenos Aires,392045.0,2728865.0,1242121.0,125521.0,66872.0,4555424.0,31.591,30.056,313382.0,321.756,290.127,161.183,3381049.0,26.28,4555424.0
2022,1,Capital Federal,102290.0,1217225.0,62308.0,5784.0,29934.0,1417541.0,527.0,5.575,39918.0,77.39,61.053,43.289,1188072.0,1.717,1417541.0
2022,1,Catamarca,14181.0,15517.0,29118.0,1328.0,2234.0,62378.0,71.0,456.0,4386.0,7.009,8.773,3.761,35715.0,2.207,62378.0
2022,1,Chaco,32391.0,64546.0,36662.0,8164.0,2356.0,144119.0,461.0,1.099,16888.0,21.235,20.898,13.012,62946.0,7.58,144119.0
2022,1,Chubut,44133.0,66667.0,9184.0,30592.0,21052.0,171628.0,113.0,1.677,61369.0,31.856,33.08,13.871,14055.0,15.607,171628.0
2022,1,Córdoba,195610.0,501799.0,235838.0,60843.0,9713.0,1003803.0,100.0,12.782,165922.0,126.009,73.967,34.892,577027.0,13.104,1003803.0
2022,1,Corrientes,40462.0,79093.0,10875.0,6774.0,5374.0,142578.0,67.0,4.029,24563.0,25.665,27.077,10.452,43631.0,7.094,142578.0
2022,1,Entre Ríos,67159.0,138986.0,23091.0,26098.0,12592.0,267926.0,107.0,5.745,50075.0,49.62,42.294,21.578,81757.0,16.75,267926.0
2022,1,Formosa,16397.0,15927.0,5146.0,16876.0,202.0,54548.0,97.0,448.0,24113.0,6.945,6.613,716.0,15028.0,588.0,54548.0
2022,1,Jujuy,21307.0,60616.0,25949.0,4662.0,3975.0,116509.0,58.0,1.761,22141.0,16.321,37.923,576.0,35287.0,2.442,116509.0
2022,1,La Pampa,8003.0,58978.0,21739.0,19903.0,1109.0,109732.0,301.0,2.223,62812.0,9.869,12.044,5.25,14400.0,2.833,109732.0
2022,1,La Rioja,9103.0,59228.0,9546.0,6395.0,31.0,84303.0,18.0,778.0,3576.0,4.692,23.624,5.645,45970.0,0.0,84303.0
2022,1,Mendoza,49464.0,74145.0,123228.0,26969.0,1379.0,275185.0,114.0,3.355,51230.0,26.407,74.178,21.566,95048.0,3.287,275185.0
2022,1,Misiones,39147.0,91752.0,25178.0,7807.0,7624.0,171508.0,51.0,3.873,35655.0,22.261,26.855,15.854,58610.0,8.349,171508.0
2022,1,Neuquén,28443.0,73200.0,24193.0,23098.0,745.0,149679.0,137.0,1.123,39856.0,15.623,11.163,2.654,71238.0,7.885,149679.0
2022,1,Río Negro,38662.0,45366.0,38037.0,16815.0,18494.0,157374.0,116.0,1.383,35565.0,18.859,26.926,14.144,37729.0,22.652,157374.0
2022,1,Salta,44714.0,98667.0,40994.0,5950.0,7190.0,197515.0,114.0,1.725,35576.0,68.246,6.313,2.214,76838.0,6.489,197515.0
2022,1,San Juan,34038.0,14449.0,11294.0,20723.0,7674.0,88178.0,26.0,2.269,32356.0,11.914,25.144,2.088,11916.0,2.465,88178.0
2022,1,San Luis,7987.0,11296.0,31.0,71809.0,28721.0,119844.0,61.0,643.0,8287.0,3.837,9.802,68.612,13.0,28.589,119844.0
2022,1,Santa Cruz,10537.0,23420.0,10766.0,3974.0,405.0,49102.0,51.0,6.898,12710.0,11.502,12.277,2.628,2551.0,485.0,49102.0
2022,1,Santa Fe,213486.0,444609.0,146552.0,45261.0,20571.0,870479.0,468.0,12.435,143796.0,208.361,84.787,58.018,344170.0,18.444,870479.0
2022,1,Santiago Del Estero,18118.0,87979.0,1093.0,6349.0,2922.0,116461.0,178.0,1.401,30220.0,61.17,13.542,849.0,8309.0,792.0,116461.0
2022,1,Tierra Del Fuego,13031.0,38700.0,416.0,124.0,340.0,52611.0,24.0,894.0,12849.0,15.64,18.034,1.767,982.0,2.421,52611.0
2022,1,Tucumán,92532.0,62396.0,86174.0,3995.0,487.0,245584.0,39.0,2.212,36028.0,46.961,21.014,5.211,133846.0,273.0,245584.0
2021,4,Buenos Aires,426325.0,2706506.0,1176024.0,126887.0,73415.0,4509157.0,37.821,11.026,352950.0,331.292,297.296,196.021,3259793.0,22.958,4509157.0
2021,4,Capital Federal,111360.0,1205128.0,60005.0,5679.0,29947.0,1412119.0,563.0,1.695,47133.0,81.899,66.135,66.755,1147939.0,0.0,1412119.0
2021,4,Catamarca,16385.0,13858.0,25100.0,1512.0,2235.0,59090.0,71.0,0.0,6038.0,7.855,9.804,3.262,29827.0,2.233,59090.0
2021,4,Chaco,35548.0,63145.0,34688.0,8005.0,2359.0,143745.0,461.0,112.0,18845.0,22.678,21.937,13.692,58435.0,7.585,143745.0
2021,4,Chubut,46361.0,57412.0,9655.0,28041.0,18839.0,160308.0,126.0,1.294,63698.0,39.568,31.175,5.78,2904.0,15.763,160308.0
2021,4,Córdoba,212011.0,487489.0,217214.0,61277.0,8779.0,986770.0,100.0,2.479,184548.0,130.892,76.246,41.198,538700.0,12.607,986770.0
2021,4,Corrientes,42523.0,71183.0,10138.0,6778.0,5290.0,135912.0,67.0,645.0,28830.0,26.368,22.922,10.087,39911.0,7.082,135912.0
2021,4,Entre Ríos,70459.0,133387.0,23452.0,25022.0,12726.0,265046.0,107.0,3.024,56043.0,49.636,38.295,24.068,77290.0,16.583,265046.0
2021,4,Formosa,17211.0,15111.0,5151.0,16018.0,172.0,53663.0,84.0,0.0,22908.0,6.983,6.811,1.135,13775.0,1.967,53663.0
2021,4,Jujuy,22330.0,60511.0,24156.0,2927.0,3991.0,113915.0,58.0,175.0,22446.0,16.793,38.134,564.0,33421.0,2.324,113915.0
2021,4,La Pampa,8175.0,58000.0,20192.0,19286.0,1354.0,107007.0,301.0,493.0,64840.0,9.082,12.259,4.821,12184.0,3.027,107007.0
2021,4,La Rioja,10387.0,56651.0,9446.0,6613.0,31.0,83128.0,18.0,1.0,5018.0,5.437,23.559,5.671,43424.0,0.0,83128.0
2021,4,Mendoza,59842.0,71553.0,109667.0,24666.0,1859.0,267587.0,156.0,1.463,66428.0,30.308,75.214,18.621,75031.0,366.0,267587.0
2021,4,Misiones,41778.0,92068.0,22035.0,7649.0,7602.0,171132.0,51.0,5.0,41916.0,23.554,26.721,15.954,54596.0,8.335,171132.0
2021,4,Neuquén,29175.0,72761.0,23253.0,21531.0,746.0,147466.0,140.0,940.0,42313.0,13.264,10.515,3.31,69217.0,7.767,147466.0
2021,4,Río Negro,42037.0,44495.0,32212.0,16558.0,18451.0,153753.0,156.0,1.174,38373.0,19.878,31.255,4.13,36142.0,22.645,153753.0
2021,4,Salta,46972.0,99808.0,39555.0,5882.0,7188.0,199405.0,114.0,20.0,40673.0,69.324,6.642,3.535,72622.0,6.475,199405.0
2021,4,San Juan,35868.0,13102.0,11072.0,11423.0,8493.0,79958.0,44.0,1.442,28906.0,10.955,23.978,398.0,9800.0,4.435,79958.0
2021,4,San Luis,8472.0,11064.0,30.0,70560.0,28723.0,118849.0,62.0,264.0,8550.0,4.276,9.107,67.363,9.0,29.218,118849.0
2021,4,Santa Cruz,10790.0,22902.0,10031.0,4346.0,417.0,48486.0,52.0,297.0,20305.0,11.641,13.054,1.77,876.0,491.0,48486.0
2021,4,Santa Fe,233427.0,444373.0,128856.0,43556.0,16229.0,866441.0,467.0,581.0,169706.0,206.856,85.69,62.349,322015.0,18.777,866441.0
2021,4,Santiago Del Estero,19032.0,86563.0,1088.0,6256.0,2922.0,115861.0,178.0,909.0,31915.0,61.524,12.205,800.0,7537.0,793.0,115861.0
2021,4,Tierra Del Fuego,13317.0,38148.0,426.0,124.0,342.0,52357.0,26.0,385.0,13505.0,16.534,16.562,1.748,1017.0,2.58,52357.0
2021,4,Tucumán,97830.0,59022.0,78790.0,2511.0,486.0,238639.0,39.0,97.0,37321.0,48.736,21.023,5.326,125857.0,240.0,238639.0
2021,3,Buenos Aires,585729.0,2595485.0,885613.0,120228.0,64554.0,4251609.0,37.193,31.149,1108940.0,248.153,141.383,192.797,2482266.0,9.728,4251609.0
2021,3,Capital Federal,142902.0,1192107.0,42966.0,6059.0,29371.0,1413405.0,295.0,603.0,156978.0,67.013,39.785,73.502,1075229.0,0.0,1413405.0
2021,3,Catamarca,18413.0,11709.0,22331.0,1568.0,2233.0,56254.0,71.0,0.0,6755.0,8.428,10.517,1.659,26618.0,2.206,56254.0
2021,3,Chaco,38258.0,63659.0,27583.0,8018.0,2353.0,139871.0,301.0,112.0,22545.0,20.986,23.852,14.412,49705.0,7.958,139871.0
2021,3,Chubut,49269.0,55794.0,8946.0,23376.0,18681.0,156066.0,104.0,105.0,89168.0,26.281,18.538,5.32,1643.0,14.907,156066.0
2021,3,Córdoba,229275.0,477223.0,167495.0,57617.0,15178.0,946788.0,99.0,2.452,204989.0,141.285,65.05,47.198,476459.0,9.256,946788.0
2021,3,Corrientes,44805.0,69403.0,7542.0,6766.0,5303.0,133819.0,67.0,645.0,29629.0,28.478,24.792,9.687,35468.0,5.053,133819.0
2021,3,Entre Ríos,74443.0,128752.0,20485.0,23500.0,13195.0,260375.0,107.0,3.024,61354.0,59.776,39.114,16.284,67961.0,12.755,260375.0
2021,3,Formosa,18093.0,14111.0,4730.0,15690.0,171.0,52795.0,381.0,0.0,22778.0,7.142,6.978,1.192,12707.0,1.617,52795.0
2021,3,Jujuy,23554.0,60758.0,19926.0,2952.0,3968.0,111158.0,48.0,175.0,23884.0,16.417,37.755,561.0,29917.0,2.401,111158.0
2021,3,La Pampa,9015.0,57881.0,17817.0,14479.0,1295.0,100487.0,298.0,313.0,65063.0,7.395,8.737,4.023,10506.0,4.152,100487.0
2021,3,La Rioja,11329.0,54744.0,9444.0,6613.0,30.0,82160.0,18.0,1.0,5366.0,5.979,23.315,4.868,42613.0,0.0,82160.0
2021,3,Mendoza,91474.0,71247.0,70579.0,21811.0,828.0,255939.0,36.0,31.0,151871.0,12.64,62.628,7.596,21087.0,50.0,255939.0
2021,3,Misiones,43230.0,89469.0,10969.0,7198.0,7662.0,158528.0,51.0,5.0,41932.0,25.099,26.079,14.792,42291.0,8.279,158528.0
2021,3,Neuquén,29650.0,73794.0,16455.0,19270.0,640.0,139809.0,112.0,327.0,57441.0,8.566,6.234,3.631,57919.0,5.579,139809.0
2021,3,Río Negro,47934.0,44519.0,18725.0,15031.0,18376.0,144585.0,125.0,557.0,68991.0,3.73,14.88,2.282,34011.0,20.009,144585.0
2021,3,Salta,49212.0,98318.0,36126.0,5724.0,6453.0,195833.0,101.0,20.0,41431.0,70.104,6.962,3.878,67010.0,6.327,195833.0
2021,3,San Juan,40072.0,12922.0,6670.0,11372.0,8447.0,79483.0,18.0,333.0,59873.0,752.0,13.25,338.0,278.0,4.641,79483.0
2021,3,San Luis,8417.0,11884.0,27.0,68856.0,28680.0,117864.0,60.0,0.0,11552.0,2.405,6.491,67.942,22.0,29.392,117864.0
2021,3,Santa Cruz,12347.0,22961.0,6328.0,4269.0,3071.0,48976.0,50.0,0.0,30561.0,8.365,6.799,1.788,678.0,735.0,48976.0
2021,3,Santa Fe,245929.0,443156.0,93412.0,43447.0,15640.0,841584.0,467.0,579.0,193207.0,201.25,83.941,55.08,290793.0,16.267,841584.0
2021,3,Santiago Del Estero,19939.0,85535.0,909.0,6147.0,2928.0,115458.0,123.0,909.0,32752.0,61.838,11.274,801.0,6863.0,898.0,115458.0
2021,3,Tierra Del Fuego,12853.0,36958.0,6.0,16.0,390.0,50223.0,17.0,0.0,23723.0,13.397,9.782,1.433,976.0,895.0,50223.0
2021,3,Tucumán,104489.0,53868.0,70964.0,2408.0,743.0,232472.0,32.0,97.0,39446.0,50.293,21.986,5.3,115154.0,164.0,232472.0
2021,2,Buenos Aires,603255.0,2503830.0,854173.0,113546.0,57547.0,4132351.0,37.192,31.178,1096049.0,244.001,140.322,236.897,2337604.0,9.108,4132351.0
2021,2,Capital Federal,148989.0,1175097.0,41318.0,5580.0,29371.0,1400355.0,294.0,603.0,157558.0,73.568,43.859,86.655,1037752.0,66.0,1400355.0
2021,2,Catamarca,20305.0,9426.0,22331.0,1449.0,2233.0,55744.0,71.0,0.0,7219.0,9.091,6.828,4.941,25388.0,2.206,55744.0
